HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521004878@186523@101108998@3791@101006@201882,OTHER,AZAPURE,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.27,12.03,Dec-2025
1521004878@186523@101108998@3791@101006@201882,OTHER,AZOFIT,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.27,12.03,Dec-2025
1521004878@186523@101108998@3791@101006@201882,OTHER,AZR,IPCA LABORATORIES PVT LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.33,12.03,Dec-2025
1521004879@231516@101108999@3791@101006@201882,MAIN,AZAPURE 50 MG TABLET 10,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,10 TABLET,TABLET,Scheduled,11.46,120.27,12.03,Dec-2025
1521004879@231516@101108999@3791@101006@201882,OTHER,AZATHIOL,KNOLL HEALTHCARE PVT.LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,87.46,8.75,Dec-2025
1521004879@231516@101108999@3791@101006@201882,OTHER,THIOPRESS,UNITED BIOTECH (P) LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,93.35,9.34,Dec-2025
1521004879@231516@101108999@3791@101006@201882,OTHER,VANTHIORIN,AVANCER LAB,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,94.69,9.47,Dec-2025
1521004879@231516@101108999@3791@101006@201882,OTHER,AZANOL,DERMAKARE PHARMACEUTICALS PVT.LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,96.00,9.60,Dec-2025
1521004879@231516@101108999@3791@101006@201882,OTHER,IMUZA,MANKIND PHARMACEUTICALS LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,96.50,9.65,Dec-2025
1521004879@231516@101108999@3791@101006@201882,OTHER,BIOAZAPIN,BIOS LAB PVT.LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,99.00,9.90,Dec-2025
1521004879@231516@101108999@3791@101006@201882,OTHER,AZORAN,RPG LIFE SCIENCES LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,106.10,10.61,Dec-2025
1521004879@231516@101108999@3791@101006@201882,OTHER,IMOPRINE,CANIXA LIFE SCIENCES PVT,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,114.00,11.40,Dec-2025
1521004879@231516@101108999@3791@101006@201882,OTHER,NEOPRINE,EUMEDICA PHARMACEUTICALS,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,115.00,11.50,Dec-2025
1521004879@231516@101108999@3791@101006@201882,OTHER,ZYMURINE,ZYDUS - BIOLOGICS,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,115.70,11.57,Dec-2025
1521004879@231516@101108999@3791@101006@201882,OTHER,AZOTAS,TAS MED (INDIA) PRIVATE LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,116.97,11.70,Dec-2025
1521004879@231516@101108999@3791@101006@201882,OTHER,AZASIS,RIVAN PHARMACEUTICALS PVT.LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,118.00,11.80,Dec-2025
1521004879@231516@101108999@3791@101006@201882,OTHER,ATZ,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,118.13,11.81,Dec-2025
1521004879@231516@101108999@3791@101006@201882,OTHER,AZAFLY,BRINTON PHARMACEUTICALS .LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,118.20,11.82,Dec-2025
1521004879@231516@101108999@3791@101006@201882,OTHER,INNOMUNE,CIPLA LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,118.23,11.82,Dec-2025
1521004879@231516@101108999@3791@101006@201882,OTHER,AZAPRIN,GALCARE PHARMACEUTICALS P. LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,119.06,11.91,Dec-2025
1521004879@231516@101108999@3791@101006@201882,OTHER,ARETHA,OAKNET HEALTHCARE,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.05,12.01,Dec-2025
1521004879@231516@101108999@3791@101006@201882,OTHER,AZARID,EAST WEST PHARMA,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.16,12.02,Dec-2025
1521004879@231516@101108999@3791@101006@201882,OTHER,AZORAN,RPG LIFE SCIENCES LTD.,AZATHIOPRINE TABLET 50 MG,20,TABLET,Scheduled,11.46,240.31,12.02,Dec-2025
1521004879@231516@101108999@3791@101006@201882,OTHER,ATZ,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,15,TABLET,Scheduled,11.46,180.40,12.03,Dec-2025
1521004879@231516@101108999@3791@101006@201882,OTHER,AZOFIT,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.27,12.03,Dec-2025
1521004879@231516@101108999@3791@101006@201882,OTHER,AZR,IPCA LABORATORIES PVT LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.33,12.03,Dec-2025
1521003643@196972@101107958@3791@101006@201882,MAIN,AZARID 50 MG TABLET 10,EAST WEST PHARMA,AZATHIOPRINE TABLET 50 MG,10 TABLET,TABLET,Scheduled,11.46,120.16,12.02,Dec-2025
1521003643@196972@101107958@3791@101006@201882,OTHER,AZATHIOL,KNOLL HEALTHCARE PVT.LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,87.46,8.75,Dec-2025
1521003643@196972@101107958@3791@101006@201882,OTHER,THIOPRESS,UNITED BIOTECH (P) LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,93.35,9.34,Dec-2025
1521003643@196972@101107958@3791@101006@201882,OTHER,VANTHIORIN,AVANCER LAB,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,94.69,9.47,Dec-2025
1521003643@196972@101107958@3791@101006@201882,OTHER,AZANOL,DERMAKARE PHARMACEUTICALS PVT.LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,96.00,9.60,Dec-2025
1521003643@196972@101107958@3791@101006@201882,OTHER,IMUZA,MANKIND PHARMACEUTICALS LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,96.50,9.65,Dec-2025
1521003643@196972@101107958@3791@101006@201882,OTHER,BIOAZAPIN,BIOS LAB PVT.LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,99.00,9.90,Dec-2025
1521003643@196972@101107958@3791@101006@201882,OTHER,AZORAN,RPG LIFE SCIENCES LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,106.10,10.61,Dec-2025
1521003643@196972@101107958@3791@101006@201882,OTHER,IMOPRINE,CANIXA LIFE SCIENCES PVT,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,114.00,11.40,Dec-2025
1521003643@196972@101107958@3791@101006@201882,OTHER,NEOPRINE,EUMEDICA PHARMACEUTICALS,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,115.00,11.50,Dec-2025
1521003643@196972@101107958@3791@101006@201882,OTHER,ZYMURINE,ZYDUS - BIOLOGICS,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,115.70,11.57,Dec-2025
1521003643@196972@101107958@3791@101006@201882,OTHER,AZOTAS,TAS MED (INDIA) PRIVATE LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,116.97,11.70,Dec-2025
1521003643@196972@101107958@3791@101006@201882,OTHER,AZASIS,RIVAN PHARMACEUTICALS PVT.LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,118.00,11.80,Dec-2025
1521003643@196972@101107958@3791@101006@201882,OTHER,ATZ,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,118.13,11.81,Dec-2025
1521003643@196972@101107958@3791@101006@201882,OTHER,AZAFLY,BRINTON PHARMACEUTICALS .LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,118.20,11.82,Dec-2025
1521003643@196972@101107958@3791@101006@201882,OTHER,INNOMUNE,CIPLA LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,118.23,11.82,Dec-2025
1521003643@196972@101107958@3791@101006@201882,OTHER,AZAPRIN,GALCARE PHARMACEUTICALS P. LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,119.06,11.91,Dec-2025
1521003643@196972@101107958@3791@101006@201882,OTHER,ARETHA,OAKNET HEALTHCARE,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.05,12.01,Dec-2025
1521003643@196972@101107958@3791@101006@201882,OTHER,AZORAN,RPG LIFE SCIENCES LTD.,AZATHIOPRINE TABLET 50 MG,20,TABLET,Scheduled,11.46,240.31,12.02,Dec-2025
1521003643@196972@101107958@3791@101006@201882,OTHER,ATZ,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,15,TABLET,Scheduled,11.46,180.40,12.03,Dec-2025
1521003643@196972@101107958@3791@101006@201882,OTHER,AZAPURE,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.27,12.03,Dec-2025
1521003643@196972@101107958@3791@101006@201882,OTHER,AZOFIT,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.27,12.03,Dec-2025
1521003643@196972@101107958@3791@101006@201882,OTHER,AZR,IPCA LABORATORIES PVT LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.33,12.03,Dec-2025
1521004889@206623@101109009@3791@101006@201882,MAIN,AZASIS 50 MG TABLET 10,RIVAN PHARMACEUTICALS PVT.LTD,AZATHIOPRINE TABLET 50 MG,10 TABLET,TABLET,Scheduled,11.46,118.00,11.80,Dec-2025
1521004889@206623@101109009@3791@101006@201882,OTHER,AZATHIOL,KNOLL HEALTHCARE PVT.LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,87.46,8.75,Dec-2025
1521004889@206623@101109009@3791@101006@201882,OTHER,THIOPRESS,UNITED BIOTECH (P) LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,93.35,9.34,Dec-2025
1521004889@206623@101109009@3791@101006@201882,OTHER,VANTHIORIN,AVANCER LAB,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,94.69,9.47,Dec-2025
1521004889@206623@101109009@3791@101006@201882,OTHER,AZANOL,DERMAKARE PHARMACEUTICALS PVT.LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,96.00,9.60,Dec-2025
1521004889@206623@101109009@3791@101006@201882,OTHER,IMUZA,MANKIND PHARMACEUTICALS LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,96.50,9.65,Dec-2025
1521004889@206623@101109009@3791@101006@201882,OTHER,BIOAZAPIN,BIOS LAB PVT.LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,99.00,9.90,Dec-2025
1521004889@206623@101109009@3791@101006@201882,OTHER,AZORAN,RPG LIFE SCIENCES LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,106.10,10.61,Dec-2025
1521004889@206623@101109009@3791@101006@201882,OTHER,IMOPRINE,CANIXA LIFE SCIENCES PVT,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,114.00,11.40,Dec-2025
1521004889@206623@101109009@3791@101006@201882,OTHER,NEOPRINE,EUMEDICA PHARMACEUTICALS,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,115.00,11.50,Dec-2025
1521004889@206623@101109009@3791@101006@201882,OTHER,ZYMURINE,ZYDUS - BIOLOGICS,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,115.70,11.57,Dec-2025
1521004889@206623@101109009@3791@101006@201882,OTHER,AZOTAS,TAS MED (INDIA) PRIVATE LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,116.97,11.70,Dec-2025
1521004889@206623@101109009@3791@101006@201882,OTHER,ATZ,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,118.13,11.81,Dec-2025
1521004889@206623@101109009@3791@101006@201882,OTHER,AZAFLY,BRINTON PHARMACEUTICALS .LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,118.20,11.82,Dec-2025
1521004889@206623@101109009@3791@101006@201882,OTHER,INNOMUNE,CIPLA LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,118.23,11.82,Dec-2025
1521004889@206623@101109009@3791@101006@201882,OTHER,AZAPRIN,GALCARE PHARMACEUTICALS P. LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,119.06,11.91,Dec-2025
1521004889@206623@101109009@3791@101006@201882,OTHER,ARETHA,OAKNET HEALTHCARE,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.05,12.01,Dec-2025
1521004889@206623@101109009@3791@101006@201882,OTHER,AZARID,EAST WEST PHARMA,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.16,12.02,Dec-2025
1521004889@206623@101109009@3791@101006@201882,OTHER,AZORAN,RPG LIFE SCIENCES LTD.,AZATHIOPRINE TABLET 50 MG,20,TABLET,Scheduled,11.46,240.31,12.02,Dec-2025
1521004889@206623@101109009@3791@101006@201882,OTHER,ATZ,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,15,TABLET,Scheduled,11.46,180.40,12.03,Dec-2025
1521004889@206623@101109009@3791@101006@201882,OTHER,AZAPURE,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.27,12.03,Dec-2025
1521004889@206623@101109009@3791@101006@201882,OTHER,AZOFIT,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.27,12.03,Dec-2025
1521004889@206623@101109009@3791@101006@201882,OTHER,AZR,IPCA LABORATORIES PVT LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.33,12.03,Dec-2025
1521148049@287668@101228832@3791@101006@201882,MAIN,AZATHIOL 50 MG TABLET 10,KNOLL HEALTHCARE PVT.LTD,AZATHIOPRINE TABLET 50 MG,10 TABLET,TABLET,Scheduled,11.46,87.46,8.75,Dec-2025
1521148049@287668@101228832@3791@101006@201882,OTHER,THIOPRESS,UNITED BIOTECH (P) LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,93.35,9.34,Dec-2025
1521148049@287668@101228832@3791@101006@201882,OTHER,VANTHIORIN,AVANCER LAB,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,94.69,9.47,Dec-2025
1521148049@287668@101228832@3791@101006@201882,OTHER,AZANOL,DERMAKARE PHARMACEUTICALS PVT.LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,96.00,9.60,Dec-2025
1521148049@287668@101228832@3791@101006@201882,OTHER,IMUZA,MANKIND PHARMACEUTICALS LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,96.50,9.65,Dec-2025
1521148049@287668@101228832@3791@101006@201882,OTHER,BIOAZAPIN,BIOS LAB PVT.LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,99.00,9.90,Dec-2025
1521148049@287668@101228832@3791@101006@201882,OTHER,AZORAN,RPG LIFE SCIENCES LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,106.10,10.61,Dec-2025
1521148049@287668@101228832@3791@101006@201882,OTHER,IMOPRINE,CANIXA LIFE SCIENCES PVT,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,114.00,11.40,Dec-2025
1521148049@287668@101228832@3791@101006@201882,OTHER,NEOPRINE,EUMEDICA PHARMACEUTICALS,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,115.00,11.50,Dec-2025
1521148049@287668@101228832@3791@101006@201882,OTHER,ZYMURINE,ZYDUS - BIOLOGICS,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,115.70,11.57,Dec-2025
1521148049@287668@101228832@3791@101006@201882,OTHER,AZOTAS,TAS MED (INDIA) PRIVATE LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,116.97,11.70,Dec-2025
1521148049@287668@101228832@3791@101006@201882,OTHER,AZASIS,RIVAN PHARMACEUTICALS PVT.LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,118.00,11.80,Dec-2025
1521148049@287668@101228832@3791@101006@201882,OTHER,ATZ,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,118.13,11.81,Dec-2025
1521148049@287668@101228832@3791@101006@201882,OTHER,AZAFLY,BRINTON PHARMACEUTICALS .LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,118.20,11.82,Dec-2025
1521148049@287668@101228832@3791@101006@201882,OTHER,INNOMUNE,CIPLA LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,118.23,11.82,Dec-2025
1521148049@287668@101228832@3791@101006@201882,OTHER,AZAPRIN,GALCARE PHARMACEUTICALS P. LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,119.06,11.91,Dec-2025
1521148049@287668@101228832@3791@101006@201882,OTHER,ARETHA,OAKNET HEALTHCARE,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.05,12.01,Dec-2025
1521148049@287668@101228832@3791@101006@201882,OTHER,AZARID,EAST WEST PHARMA,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.16,12.02,Dec-2025
1521148049@287668@101228832@3791@101006@201882,OTHER,AZORAN,RPG LIFE SCIENCES LTD.,AZATHIOPRINE TABLET 50 MG,20,TABLET,Scheduled,11.46,240.31,12.02,Dec-2025
1521148049@287668@101228832@3791@101006@201882,OTHER,ATZ,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,15,TABLET,Scheduled,11.46,180.40,12.03,Dec-2025
1521148049@287668@101228832@3791@101006@201882,OTHER,AZAPURE,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.27,12.03,Dec-2025
1521148049@287668@101228832@3791@101006@201882,OTHER,AZOFIT,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.27,12.03,Dec-2025
1521148049@287668@101228832@3791@101006@201882,OTHER,AZR,IPCA LABORATORIES PVT LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.33,12.03,Dec-2025
1521005370@127925@101109435@3791@101006@201882,MAIN,AZOFIT 50 MG TABLET 10,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,10 TABLET,TABLET,Scheduled,11.46,120.27,12.03,Dec-2025
1521005370@127925@101109435@3791@101006@201882,OTHER,AZATHIOL,KNOLL HEALTHCARE PVT.LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,87.46,8.75,Dec-2025
1521005370@127925@101109435@3791@101006@201882,OTHER,THIOPRESS,UNITED BIOTECH (P) LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,93.35,9.34,Dec-2025
1521005370@127925@101109435@3791@101006@201882,OTHER,VANTHIORIN,AVANCER LAB,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,94.69,9.47,Dec-2025
1521005370@127925@101109435@3791@101006@201882,OTHER,AZANOL,DERMAKARE PHARMACEUTICALS PVT.LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,96.00,9.60,Dec-2025
1521005370@127925@101109435@3791@101006@201882,OTHER,IMUZA,MANKIND PHARMACEUTICALS LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,96.50,9.65,Dec-2025
1521005370@127925@101109435@3791@101006@201882,OTHER,BIOAZAPIN,BIOS LAB PVT.LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,99.00,9.90,Dec-2025
1521005370@127925@101109435@3791@101006@201882,OTHER,AZORAN,RPG LIFE SCIENCES LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,106.10,10.61,Dec-2025
1521005370@127925@101109435@3791@101006@201882,OTHER,IMOPRINE,CANIXA LIFE SCIENCES PVT,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,114.00,11.40,Dec-2025
1521005370@127925@101109435@3791@101006@201882,OTHER,NEOPRINE,EUMEDICA PHARMACEUTICALS,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,115.00,11.50,Dec-2025
1521005370@127925@101109435@3791@101006@201882,OTHER,ZYMURINE,ZYDUS - BIOLOGICS,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,115.70,11.57,Dec-2025
1521005370@127925@101109435@3791@101006@201882,OTHER,AZOTAS,TAS MED (INDIA) PRIVATE LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,116.97,11.70,Dec-2025
1521005370@127925@101109435@3791@101006@201882,OTHER,AZASIS,RIVAN PHARMACEUTICALS PVT.LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,118.00,11.80,Dec-2025
1521005370@127925@101109435@3791@101006@201882,OTHER,ATZ,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,118.13,11.81,Dec-2025
1521005370@127925@101109435@3791@101006@201882,OTHER,AZAFLY,BRINTON PHARMACEUTICALS .LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,118.20,11.82,Dec-2025
1521005370@127925@101109435@3791@101006@201882,OTHER,INNOMUNE,CIPLA LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,118.23,11.82,Dec-2025
1521005370@127925@101109435@3791@101006@201882,OTHER,AZAPRIN,GALCARE PHARMACEUTICALS P. LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,119.06,11.91,Dec-2025
1521005370@127925@101109435@3791@101006@201882,OTHER,ARETHA,OAKNET HEALTHCARE,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.05,12.01,Dec-2025
1521005370@127925@101109435@3791@101006@201882,OTHER,AZARID,EAST WEST PHARMA,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.16,12.02,Dec-2025
1521005370@127925@101109435@3791@101006@201882,OTHER,AZORAN,RPG LIFE SCIENCES LTD.,AZATHIOPRINE TABLET 50 MG,20,TABLET,Scheduled,11.46,240.31,12.02,Dec-2025
1521005370@127925@101109435@3791@101006@201882,OTHER,ATZ,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,15,TABLET,Scheduled,11.46,180.40,12.03,Dec-2025
1521005370@127925@101109435@3791@101006@201882,OTHER,AZAPURE,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.27,12.03,Dec-2025
1521005370@127925@101109435@3791@101006@201882,OTHER,AZR,IPCA LABORATORIES PVT LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.33,12.03,Dec-2025
1521005406@156475@101109464@3312@101006@201882,MAIN,AZORAN 25 MG TABLET 25,RPG LIFE SCIENCES LTD.,AZATHIOPRINE TABLET 25 MG,25 TABLET,TABLET,Scheduled,7.37,193.30,7.73,Dec-2025
1521005409@67222@101109464@3791@101006@201882,MAIN,AZORAN 50 MG TABLET 10,RPG LIFE SCIENCES LTD.,AZATHIOPRINE TABLET 50 MG,10 TABLET,TABLET,Scheduled,11.46,106.10,10.61,Dec-2025
1521005409@67222@101109464@3791@101006@201882,OTHER,AZATHIOL,KNOLL HEALTHCARE PVT.LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,87.46,8.75,Dec-2025
1521005409@67222@101109464@3791@101006@201882,OTHER,THIOPRESS,UNITED BIOTECH (P) LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,93.35,9.34,Dec-2025
1521005409@67222@101109464@3791@101006@201882,OTHER,VANTHIORIN,AVANCER LAB,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,94.69,9.47,Dec-2025
1521005409@67222@101109464@3791@101006@201882,OTHER,AZANOL,DERMAKARE PHARMACEUTICALS PVT.LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,96.00,9.60,Dec-2025
1521005409@67222@101109464@3791@101006@201882,OTHER,IMUZA,MANKIND PHARMACEUTICALS LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,96.50,9.65,Dec-2025
1521005409@67222@101109464@3791@101006@201882,OTHER,BIOAZAPIN,BIOS LAB PVT.LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,99.00,9.90,Dec-2025
1521005409@67222@101109464@3791@101006@201882,OTHER,IMOPRINE,CANIXA LIFE SCIENCES PVT,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,114.00,11.40,Dec-2025
1521005409@67222@101109464@3791@101006@201882,OTHER,NEOPRINE,EUMEDICA PHARMACEUTICALS,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,115.00,11.50,Dec-2025
1521005409@67222@101109464@3791@101006@201882,OTHER,ZYMURINE,ZYDUS - BIOLOGICS,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,115.70,11.57,Dec-2025
1521005409@67222@101109464@3791@101006@201882,OTHER,AZOTAS,TAS MED (INDIA) PRIVATE LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,116.97,11.70,Dec-2025
1521005409@67222@101109464@3791@101006@201882,OTHER,AZASIS,RIVAN PHARMACEUTICALS PVT.LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,118.00,11.80,Dec-2025
1521005409@67222@101109464@3791@101006@201882,OTHER,ATZ,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,118.13,11.81,Dec-2025
1521005409@67222@101109464@3791@101006@201882,OTHER,AZAFLY,BRINTON PHARMACEUTICALS .LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,118.20,11.82,Dec-2025
1521005409@67222@101109464@3791@101006@201882,OTHER,INNOMUNE,CIPLA LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,118.23,11.82,Dec-2025
