HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521020854@315235@101130175@2864@101006@201345,OTHER,FINGAIN,HBC DERMIZA HEALTHCARE PVT.LTD,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,60.94,6.09,Dec-2025
1521020854@315235@101130175@2864@101006@201345,OTHER,FINALO,INTAS PHARMACEUTICALS LTD,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,65.63,6.56,Dec-2025
1521020854@315235@101130175@2864@101006@201345,OTHER,MPB,PROTECH BIOSYSTEMS,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,66.00,6.60,Dec-2025
1521020854@315235@101130175@2864@101006@201345,OTHER,FINABALD,EAST WEST PHARMA,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,66.93,6.69,Dec-2025
1521020854@315235@101130175@2864@101006@201345,OTHER,FINAP,SALVE PHARMACEUTICALS PVT LTD,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,72.00,7.20,Dec-2025
1521020854@315235@101130175@2864@101006@201345,OTHER,CURLZFIN,CANIXA LIFE SCIENCES PVT,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,88.00,8.80,Dec-2025
1521020854@315235@101130175@2864@101006@201345,OTHER,TRIFIN,TRIPADA BIOTEC PVT LTD,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,90.00,9.00,Dec-2025
1521020854@315235@101130175@2864@101006@201345,OTHER,FASTIS,BRINTON PHARMACEUTICALS .LTD,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,91.88,9.19,Dec-2025
1521020854@315235@101130175@2864@101006@201345,OTHER,FINPECIA,CIPLA LTD.,FINASTERIDE TABLET 1 MG,15,TABLET,Non-Scheduled,-1,151.12,10.07,Dec-2025
1521020854@315235@101130175@2864@101006@201345,OTHER,FINAST,TORRENT PHARMACEUTICALS LTD.,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,101.45,10.15,Dec-2025
1521020854@315235@101130175@2864@101006@201345,OTHER,FINAX,DR. REDDYS LABORATORIES LTD,FINASTERIDE TABLET 1 MG,30,TABLET,Non-Scheduled,-1,355.78,11.86,Dec-2025
1521050316@176513@101153316@2864@101006@201345,MAIN,MPB 1 MG TABLET 10,PROTECH BIOSYSTEMS,FINASTERIDE TABLET 1 MG,10 TABLET,TABLET,Non-Scheduled,-1,66.00,6.60,Dec-2025
1521050316@176513@101153316@2864@101006@201345,OTHER,FINE 1,ORGANIC LABORATORIES,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,43.75,4.38,Dec-2025
1521050316@176513@101153316@2864@101006@201345,OTHER,FINARIDE,PSYCORMEDIES,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,44.00,4.40,Dec-2025
1521050316@176513@101153316@2864@101006@201345,OTHER,FINOSTAR,KNOLL HEALTHCARE PVT.LTD,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,55.00,5.50,Dec-2025
1521050316@176513@101153316@2864@101006@201345,OTHER,TEXFIN,BIOS LAB PVT.LTD,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,55.69,5.57,Dec-2025
1521050316@176513@101153316@2864@101006@201345,OTHER,FINACET,KIVI LABS LTD,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,56.10,5.61,Dec-2025
1521050316@176513@101153316@2864@101006@201345,OTHER,FINGAIN,HBC DERMIZA HEALTHCARE PVT.LTD,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,60.94,6.09,Dec-2025
1521050316@176513@101153316@2864@101006@201345,OTHER,FINALO,INTAS PHARMACEUTICALS LTD,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,65.63,6.56,Dec-2025
1521050316@176513@101153316@2864@101006@201345,OTHER,FINABALD,EAST WEST PHARMA,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,66.93,6.69,Dec-2025
1521050316@176513@101153316@2864@101006@201345,OTHER,FINAP,SALVE PHARMACEUTICALS PVT LTD,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,72.00,7.20,Dec-2025
1521050316@176513@101153316@2864@101006@201345,OTHER,GROWPECIA,PRISM LIFESCIENCE,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,74.53,7.45,Dec-2025
1521050316@176513@101153316@2864@101006@201345,OTHER,CURLZFIN,CANIXA LIFE SCIENCES PVT,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,88.00,8.80,Dec-2025
1521050316@176513@101153316@2864@101006@201345,OTHER,TRIFIN,TRIPADA BIOTEC PVT LTD,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,90.00,9.00,Dec-2025
1521050316@176513@101153316@2864@101006@201345,OTHER,FASTIS,BRINTON PHARMACEUTICALS .LTD,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,91.88,9.19,Dec-2025
1521050316@176513@101153316@2864@101006@201345,OTHER,FINPECIA,CIPLA LTD.,FINASTERIDE TABLET 1 MG,15,TABLET,Non-Scheduled,-1,151.12,10.07,Dec-2025
1521050316@176513@101153316@2864@101006@201345,OTHER,FINAST,TORRENT PHARMACEUTICALS LTD.,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,101.45,10.15,Dec-2025
1521050316@176513@101153316@2864@101006@201345,OTHER,FINAX,DR. REDDYS LABORATORIES LTD,FINASTERIDE TABLET 1 MG,30,TABLET,Non-Scheduled,-1,355.78,11.86,Dec-2025
1521090091@217951@101188869@2864@101006@201345,MAIN,TEXFIN OD 1 MG TABLET 10,BIOS LAB PVT.LTD,FINASTERIDE TABLET 1 MG,10 TABLET,TABLET,Non-Scheduled,-1,55.69,5.57,Dec-2025
1521090091@217951@101188869@2864@101006@201345,OTHER,FINE 1,ORGANIC LABORATORIES,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,43.75,4.38,Dec-2025
1521090091@217951@101188869@2864@101006@201345,OTHER,FINARIDE,PSYCORMEDIES,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,44.00,4.40,Dec-2025
1521090091@217951@101188869@2864@101006@201345,OTHER,FINOSTAR,KNOLL HEALTHCARE PVT.LTD,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,55.00,5.50,Dec-2025
1521090091@217951@101188869@2864@101006@201345,OTHER,FINACET,KIVI LABS LTD,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,56.10,5.61,Dec-2025
1521090091@217951@101188869@2864@101006@201345,OTHER,FINGAIN,HBC DERMIZA HEALTHCARE PVT.LTD,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,60.94,6.09,Dec-2025
1521090091@217951@101188869@2864@101006@201345,OTHER,FINALO,INTAS PHARMACEUTICALS LTD,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,65.63,6.56,Dec-2025
1521090091@217951@101188869@2864@101006@201345,OTHER,MPB,PROTECH BIOSYSTEMS,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,66.00,6.60,Dec-2025
1521090091@217951@101188869@2864@101006@201345,OTHER,FINABALD,EAST WEST PHARMA,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,66.93,6.69,Dec-2025
1521090091@217951@101188869@2864@101006@201345,OTHER,FINAP,SALVE PHARMACEUTICALS PVT LTD,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,72.00,7.20,Dec-2025
1521090091@217951@101188869@2864@101006@201345,OTHER,GROWPECIA,PRISM LIFESCIENCE,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,74.53,7.45,Dec-2025
1521090091@217951@101188869@2864@101006@201345,OTHER,CURLZFIN,CANIXA LIFE SCIENCES PVT,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,88.00,8.80,Dec-2025
1521090091@217951@101188869@2864@101006@201345,OTHER,TRIFIN,TRIPADA BIOTEC PVT LTD,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,90.00,9.00,Dec-2025
1521090091@217951@101188869@2864@101006@201345,OTHER,FASTIS,BRINTON PHARMACEUTICALS .LTD,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,91.88,9.19,Dec-2025
1521090091@217951@101188869@2864@101006@201345,OTHER,FINPECIA,CIPLA LTD.,FINASTERIDE TABLET 1 MG,15,TABLET,Non-Scheduled,-1,151.12,10.07,Dec-2025
1521090091@217951@101188869@2864@101006@201345,OTHER,FINAST,TORRENT PHARMACEUTICALS LTD.,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,101.45,10.15,Dec-2025
1521090091@217951@101188869@2864@101006@201345,OTHER,FINAX,DR. REDDYS LABORATORIES LTD,FINASTERIDE TABLET 1 MG,30,TABLET,Non-Scheduled,-1,355.78,11.86,Dec-2025
1521079034@212106@101179522@2864@101006@201345,MAIN,TRIFIN 1 MG TABLET 10,TRIPADA BIOTEC PVT LTD,FINASTERIDE TABLET 1 MG,10 TABLET,TABLET,Non-Scheduled,-1,90.00,9.00,Dec-2025
1521079034@212106@101179522@2864@101006@201345,OTHER,FINE 1,ORGANIC LABORATORIES,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,43.75,4.38,Dec-2025
1521079034@212106@101179522@2864@101006@201345,OTHER,FINARIDE,PSYCORMEDIES,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,44.00,4.40,Dec-2025
1521079034@212106@101179522@2864@101006@201345,OTHER,FINOSTAR,KNOLL HEALTHCARE PVT.LTD,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,55.00,5.50,Dec-2025
1521079034@212106@101179522@2864@101006@201345,OTHER,TEXFIN,BIOS LAB PVT.LTD,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,55.69,5.57,Dec-2025
1521079034@212106@101179522@2864@101006@201345,OTHER,FINACET,KIVI LABS LTD,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,56.10,5.61,Dec-2025
1521079034@212106@101179522@2864@101006@201345,OTHER,FINGAIN,HBC DERMIZA HEALTHCARE PVT.LTD,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,60.94,6.09,Dec-2025
1521079034@212106@101179522@2864@101006@201345,OTHER,FINALO,INTAS PHARMACEUTICALS LTD,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,65.63,6.56,Dec-2025
1521079034@212106@101179522@2864@101006@201345,OTHER,MPB,PROTECH BIOSYSTEMS,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,66.00,6.60,Dec-2025
1521079034@212106@101179522@2864@101006@201345,OTHER,FINABALD,EAST WEST PHARMA,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,66.93,6.69,Dec-2025
1521079034@212106@101179522@2864@101006@201345,OTHER,FINAP,SALVE PHARMACEUTICALS PVT LTD,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,72.00,7.20,Dec-2025
1521079034@212106@101179522@2864@101006@201345,OTHER,GROWPECIA,PRISM LIFESCIENCE,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,74.53,7.45,Dec-2025
1521079034@212106@101179522@2864@101006@201345,OTHER,CURLZFIN,CANIXA LIFE SCIENCES PVT,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,88.00,8.80,Dec-2025
1521079034@212106@101179522@2864@101006@201345,OTHER,FASTIS,BRINTON PHARMACEUTICALS .LTD,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,91.88,9.19,Dec-2025
1521079034@212106@101179522@2864@101006@201345,OTHER,FINPECIA,CIPLA LTD.,FINASTERIDE TABLET 1 MG,15,TABLET,Non-Scheduled,-1,151.12,10.07,Dec-2025
1521079034@212106@101179522@2864@101006@201345,OTHER,FINAST,TORRENT PHARMACEUTICALS LTD.,FINASTERIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,101.45,10.15,Dec-2025
1521079034@212106@101179522@2864@101006@201345,OTHER,FINAX,DR. REDDYS LABORATORIES LTD,FINASTERIDE TABLET 1 MG,30,TABLET,Non-Scheduled,-1,355.78,11.86,Dec-2025
