HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521059369@282319@101119520@3755@101068@207137,OTHER,PRESTERO,NEON LABORATORIES LTD,HYDROXYPROGESTERONE INJECTION 500 MG,2,INJECTION,Non-Scheduled,-1,311.20,155.60,Dec-2025
1521059369@282319@101119520@3755@101068@207137,OTHER,MAINTANE,JAGSONPAL PHARMACEUTICALS LTD,HYDROXYPROGESTERONE INJECTION 500 MG,2,INJECTION,Non-Scheduled,-1,361.04,180.52,Dec-2025
1521059369@282319@101119520@3755@101068@207137,OTHER,ANIN,INDSWIFT LABORATORIES LTD.,HYDROXYPROGESTERONE INJECTION 500 MG,2,INJECTION,Non-Scheduled,-1,361.88,180.94,Dec-2025
1521059369@282319@101119520@3755@101068@207137,OTHER,FULFIL 9,CADILA PHARMACEUTICALS LTD,HYDROXYPROGESTERONE INJECTION 500 MG,2,INJECTION,Non-Scheduled,-1,375.94,187.97,Dec-2025
1521059369@282319@101119520@3755@101068@207137,OTHER,GYNONYS,JB CHEMICALS,HYDROXYPROGESTERONE INJECTION 500 MG,1,INJECTION,Non-Scheduled,-1,203.46,203.46,Dec-2025
1521059369@282319@101119520@3755@101068@207137,OTHER,UNIPROGESTIN,TORRENT PHARMACEUTICALS LTD.,HYDROXYPROGESTERONE INJECTION 500 MG,2,INJECTION,Non-Scheduled,-1,449.70,224.85,Dec-2025
1521059369@282319@101119520@3755@101068@207137,OTHER,PROLUSTAR DEPO.,CADILA PHARMACEUTICALS LTD,HYDROXYPROGESTERONE INJECTION 500 MG,2,INJECTION,Non-Scheduled,-1,462.53,231.27,Dec-2025
1521059369@282319@101119520@3755@101068@207137,OTHER,PROLUTIL,TABLETS INDIA LTD,HYDROXYPROGESTERONE INJECTION 500 MG,2,INJECTION,Non-Scheduled,-1,462.53,231.27,Dec-2025
1521059369@282319@101119520@3755@101068@207137,OTHER,PROLUTON,ZYDUS HEALTHCARE LTD.,HYDROXYPROGESTERONE INJECTION 500 MG,2,INJECTION,Non-Scheduled,-1,462.53,231.27,Dec-2025
1521059369@282319@101119520@3755@101068@207137,OTHER,BIOSTERONE-DEPOT,ZYDUS HEALTHCARE LTD.,HYDROXYPROGESTERONE INJECTION 500 MG,1,INJECTION,Non-Scheduled,-1,253.20,253.20,Dec-2025
1521059369@282319@101119520@3755@101068@207137,OTHER,PROGESHIELD,INDIAN IMMUNOLOGICALS LTD,HYDROXYPROGESTERONE INJECTION 500 MG,1,INJECTION,Non-Scheduled,-1,267.19,267.19,Dec-2025
1521027294@90957@101131233@3215@101068@207137,MAIN,FETUGEST 250 MG INJECTION 1 ML,OBSURGE BIOTECH LTD,HYDROXYPROGESTERONE INJECTION 250 MG,1 ML INJECTION,INJECTION,Non-Scheduled,-1,115.31,115.31,Dec-2025
1521027294@90957@101131233@3215@101068@207137,OTHER,GYNONYS,JB CHEMICALS,HYDROXYPROGESTERONE INJECTION 250 MG,2,INJECTION,Non-Scheduled,-1,107.21,53.61,Dec-2025
1521027294@90957@101131233@3215@101068@207137,OTHER,LGP H,ST. MORRISON,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,69.90,69.90,Dec-2025
1521027294@90957@101131233@3215@101068@207137,OTHER,HPROGEST,OLCARE LTD,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,92.85,92.85,Dec-2025
1521027294@90957@101131233@3215@101068@207137,OTHER,PROLUTIL,TABLETS INDIA LTD,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,94.28,94.28,Dec-2025
1521027294@90957@101131233@3215@101068@207137,OTHER,BIOSTERONE-DEPOT,ZYDUS HEALTHCARE LTD.,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,113.10,113.10,Dec-2025
1521027294@90957@101131233@3215@101068@207137,OTHER,CAPROGEN DEPOT,MACMILLON PHARMACEUTICALS,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,127.83,127.83,Dec-2025
1521027294@90957@101131233@3215@101068@207137,OTHER,NT NATAL,KEE PHARMA,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,163.50,163.50,Dec-2025
1521027294@90957@101131233@3215@101068@207137,OTHER,PROGESHIELD,INDIAN IMMUNOLOGICALS LTD,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,175.00,175.00,Dec-2025
1521027294@90957@101131233@3215@101068@207137,OTHER,PRO-9,ABBOTT INDIA LTD.,HYDROXYPROGESTERONE INJECTION 250 MG,2,INJECTION,Non-Scheduled,-1,354.12,177.06,Dec-2025
1521027294@90957@101131233@3215@101068@207137,OTHER,PRO-9,ABBOTT INDIA LTD.,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,209.26,209.26,Dec-2025
1521027294@90957@101131233@3215@101068@207137,OTHER,MAINTANE,JAGSONPAL PHARMACEUTICALS LTD,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,216.18,216.18,Dec-2025
1521027294@90957@101131233@3215@101068@207137,OTHER,ANIN,INDSWIFT LABORATORIES LTD.,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,216.38,216.38,Dec-2025
1521027294@90957@101131233@3215@101068@207137,OTHER,COR9,CORONA,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,230.06,230.06,Dec-2025
1521027294@90957@101131233@3215@101068@207137,OTHER,PROLUTON,ZYDUS HEALTHCARE LTD.,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,260.91,260.91,Dec-2025
1521027294@90957@101131233@3215@101068@207137,OTHER,UNIPROGESTIN,TORRENT PHARMACEUTICALS LTD.,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,272.30,272.30,Dec-2025
1521027294@90957@101131233@3215@101068@207137,OTHER,PROLOUTON DPT,CADILA PHARMACEUTICALS LTD,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,278.30,278.30,Dec-2025
1521027298@90958@101131233@3755@101068@207137,MAIN,FETUGEST 500 MG INJECTION 2 ML,OBSURGE BIOTECH LTD,HYDROXYPROGESTERONE INJECTION 500 MG,2 ML INJECTION,INJECTION,Non-Scheduled,-1,240.28,120.14,Dec-2025
1521027298@90958@101131233@3755@101068@207137,OTHER,PD,SALUD CARE (I) PVT LTD,HYDROXYPROGESTERONE INJECTION 500 MG,1,INJECTION,Non-Scheduled,-1,22.85,22.85,Dec-2025
1521027298@90958@101131233@3755@101068@207137,OTHER,LGP H,ST. MORRISON,HYDROXYPROGESTERONE INJECTION 500 MG,2,INJECTION,Non-Scheduled,-1,179.90,89.95,Dec-2025
1521027298@90958@101131233@3755@101068@207137,OTHER,NT NATAL,KEE PHARMA,HYDROXYPROGESTERONE INJECTION 500 MG,2,INJECTION,Non-Scheduled,-1,224.06,112.03,Dec-2025
1521027298@90958@101131233@3755@101068@207137,OTHER,CAPROGEN DEPOT,MACMILLON PHARMACEUTICALS,HYDROXYPROGESTERONE INJECTION 500 MG,2,INJECTION,Non-Scheduled,-1,310.50,155.25,Dec-2025
1521027298@90958@101131233@3755@101068@207137,OTHER,PRESTERO,NEON LABORATORIES LTD,HYDROXYPROGESTERONE INJECTION 500 MG,2,INJECTION,Non-Scheduled,-1,311.20,155.60,Dec-2025
1521027298@90958@101131233@3755@101068@207137,OTHER,MAINTANE,JAGSONPAL PHARMACEUTICALS LTD,HYDROXYPROGESTERONE INJECTION 500 MG,2,INJECTION,Non-Scheduled,-1,361.04,180.52,Dec-2025
1521027298@90958@101131233@3755@101068@207137,OTHER,ANIN,INDSWIFT LABORATORIES LTD.,HYDROXYPROGESTERONE INJECTION 500 MG,2,INJECTION,Non-Scheduled,-1,361.88,180.94,Dec-2025
1521027298@90958@101131233@3755@101068@207137,OTHER,FULFIL 9,CADILA PHARMACEUTICALS LTD,HYDROXYPROGESTERONE INJECTION 500 MG,2,INJECTION,Non-Scheduled,-1,375.94,187.97,Dec-2025
1521027298@90958@101131233@3755@101068@207137,OTHER,COR9,CORONA,HYDROXYPROGESTERONE INJECTION 500 MG,2,INJECTION,Non-Scheduled,-1,386.81,193.41,Dec-2025
1521027298@90958@101131233@3755@101068@207137,OTHER,GYNONYS,JB CHEMICALS,HYDROXYPROGESTERONE INJECTION 500 MG,1,INJECTION,Non-Scheduled,-1,203.46,203.46,Dec-2025
1521027298@90958@101131233@3755@101068@207137,OTHER,UNIPROGESTIN,TORRENT PHARMACEUTICALS LTD.,HYDROXYPROGESTERONE INJECTION 500 MG,2,INJECTION,Non-Scheduled,-1,449.70,224.85,Dec-2025
1521027298@90958@101131233@3755@101068@207137,OTHER,PROLUSTAR DEPO.,CADILA PHARMACEUTICALS LTD,HYDROXYPROGESTERONE INJECTION 500 MG,2,INJECTION,Non-Scheduled,-1,462.53,231.27,Dec-2025
1521027298@90958@101131233@3755@101068@207137,OTHER,PROLUTIL,TABLETS INDIA LTD,HYDROXYPROGESTERONE INJECTION 500 MG,2,INJECTION,Non-Scheduled,-1,462.53,231.27,Dec-2025
1521027298@90958@101131233@3755@101068@207137,OTHER,PROLUTON,ZYDUS HEALTHCARE LTD.,HYDROXYPROGESTERONE INJECTION 500 MG,2,INJECTION,Non-Scheduled,-1,462.53,231.27,Dec-2025
1521027298@90958@101131233@3755@101068@207137,OTHER,BIOSTERONE-DEPOT,ZYDUS HEALTHCARE LTD.,HYDROXYPROGESTERONE INJECTION 500 MG,1,INJECTION,Non-Scheduled,-1,253.20,253.20,Dec-2025
1521027298@90958@101131233@3755@101068@207137,OTHER,PROGESHIELD,INDIAN IMMUNOLOGICALS LTD,HYDROXYPROGESTERONE INJECTION 500 MG,1,INJECTION,Non-Scheduled,-1,267.19,267.19,Dec-2025
1521094938@343597@101190540@3755@101068@207137,MAIN,FULFIL 9 500 MG INJECTION 2 ML,CADILA PHARMACEUTICALS LTD,HYDROXYPROGESTERONE INJECTION 500 MG,2 ML INJECTION,INJECTION,Non-Scheduled,-1,375.94,187.97,Dec-2025
1521094938@343597@101190540@3755@101068@207137,OTHER,PD,SALUD CARE (I) PVT LTD,HYDROXYPROGESTERONE INJECTION 500 MG,1,INJECTION,Non-Scheduled,-1,22.85,22.85,Dec-2025
1521094938@343597@101190540@3755@101068@207137,OTHER,LGP H,ST. MORRISON,HYDROXYPROGESTERONE INJECTION 500 MG,2,INJECTION,Non-Scheduled,-1,179.90,89.95,Dec-2025
1521094938@343597@101190540@3755@101068@207137,OTHER,NT NATAL,KEE PHARMA,HYDROXYPROGESTERONE INJECTION 500 MG,2,INJECTION,Non-Scheduled,-1,224.06,112.03,Dec-2025
1521094938@343597@101190540@3755@101068@207137,OTHER,FETUGEST,OBSURGE BIOTECH LTD,HYDROXYPROGESTERONE INJECTION 500 MG,2,INJECTION,Non-Scheduled,-1,240.28,120.14,Dec-2025
1521094938@343597@101190540@3755@101068@207137,OTHER,CAPROGEN DEPOT,MACMILLON PHARMACEUTICALS,HYDROXYPROGESTERONE INJECTION 500 MG,2,INJECTION,Non-Scheduled,-1,310.50,155.25,Dec-2025
1521094938@343597@101190540@3755@101068@207137,OTHER,PRESTERO,NEON LABORATORIES LTD,HYDROXYPROGESTERONE INJECTION 500 MG,2,INJECTION,Non-Scheduled,-1,311.20,155.60,Dec-2025
1521094938@343597@101190540@3755@101068@207137,OTHER,MAINTANE,JAGSONPAL PHARMACEUTICALS LTD,HYDROXYPROGESTERONE INJECTION 500 MG,2,INJECTION,Non-Scheduled,-1,361.04,180.52,Dec-2025
1521094938@343597@101190540@3755@101068@207137,OTHER,ANIN,INDSWIFT LABORATORIES LTD.,HYDROXYPROGESTERONE INJECTION 500 MG,2,INJECTION,Non-Scheduled,-1,361.88,180.94,Dec-2025
1521094938@343597@101190540@3755@101068@207137,OTHER,COR9,CORONA,HYDROXYPROGESTERONE INJECTION 500 MG,2,INJECTION,Non-Scheduled,-1,386.81,193.41,Dec-2025
1521094938@343597@101190540@3755@101068@207137,OTHER,GYNONYS,JB CHEMICALS,HYDROXYPROGESTERONE INJECTION 500 MG,1,INJECTION,Non-Scheduled,-1,203.46,203.46,Dec-2025
1521094938@343597@101190540@3755@101068@207137,OTHER,UNIPROGESTIN,TORRENT PHARMACEUTICALS LTD.,HYDROXYPROGESTERONE INJECTION 500 MG,2,INJECTION,Non-Scheduled,-1,449.70,224.85,Dec-2025
1521094938@343597@101190540@3755@101068@207137,OTHER,PROLUSTAR DEPO.,CADILA PHARMACEUTICALS LTD,HYDROXYPROGESTERONE INJECTION 500 MG,2,INJECTION,Non-Scheduled,-1,462.53,231.27,Dec-2025
1521094938@343597@101190540@3755@101068@207137,OTHER,PROLUTIL,TABLETS INDIA LTD,HYDROXYPROGESTERONE INJECTION 500 MG,2,INJECTION,Non-Scheduled,-1,462.53,231.27,Dec-2025
1521094938@343597@101190540@3755@101068@207137,OTHER,PROLUTON,ZYDUS HEALTHCARE LTD.,HYDROXYPROGESTERONE INJECTION 500 MG,2,INJECTION,Non-Scheduled,-1,462.53,231.27,Dec-2025
1521094938@343597@101190540@3755@101068@207137,OTHER,BIOSTERONE-DEPOT,ZYDUS HEALTHCARE LTD.,HYDROXYPROGESTERONE INJECTION 500 MG,1,INJECTION,Non-Scheduled,-1,253.20,253.20,Dec-2025
1521094938@343597@101190540@3755@101068@207137,OTHER,PROGESHIELD,INDIAN IMMUNOLOGICALS LTD,HYDROXYPROGESTERONE INJECTION 500 MG,1,INJECTION,Non-Scheduled,-1,267.19,267.19,Dec-2025
1521033835@115353@101196278@3215@101068@207137,MAIN,GYNONYS 250 MG INJECTION 2 ML,JB CHEMICALS,HYDROXYPROGESTERONE INJECTION 250 MG,2 ML INJECTION,INJECTION,Non-Scheduled,-1,107.21,53.61,Dec-2025
1521033835@115353@101196278@3215@101068@207137,OTHER,LGP H,ST. MORRISON,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,69.90,69.90,Dec-2025
1521033835@115353@101196278@3215@101068@207137,OTHER,HPROGEST,OLCARE LTD,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,92.85,92.85,Dec-2025
1521033835@115353@101196278@3215@101068@207137,OTHER,PROLUTIL,TABLETS INDIA LTD,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,94.28,94.28,Dec-2025
1521033835@115353@101196278@3215@101068@207137,OTHER,BIOSTERONE-DEPOT,ZYDUS HEALTHCARE LTD.,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,113.10,113.10,Dec-2025
1521033835@115353@101196278@3215@101068@207137,OTHER,FETUGEST,OBSURGE BIOTECH LTD,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,115.31,115.31,Dec-2025
1521033835@115353@101196278@3215@101068@207137,OTHER,CAPROGEN DEPOT,MACMILLON PHARMACEUTICALS,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,127.83,127.83,Dec-2025
1521033835@115353@101196278@3215@101068@207137,OTHER,NT NATAL,KEE PHARMA,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,163.50,163.50,Dec-2025
1521033835@115353@101196278@3215@101068@207137,OTHER,PROGESHIELD,INDIAN IMMUNOLOGICALS LTD,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,175.00,175.00,Dec-2025
1521033835@115353@101196278@3215@101068@207137,OTHER,PRO-9,ABBOTT INDIA LTD.,HYDROXYPROGESTERONE INJECTION 250 MG,2,INJECTION,Non-Scheduled,-1,354.12,177.06,Dec-2025
1521033835@115353@101196278@3215@101068@207137,OTHER,PRO-9,ABBOTT INDIA LTD.,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,209.26,209.26,Dec-2025
1521033835@115353@101196278@3215@101068@207137,OTHER,MAINTANE,JAGSONPAL PHARMACEUTICALS LTD,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,216.18,216.18,Dec-2025
1521033835@115353@101196278@3215@101068@207137,OTHER,ANIN,INDSWIFT LABORATORIES LTD.,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,216.38,216.38,Dec-2025
1521033835@115353@101196278@3215@101068@207137,OTHER,COR9,CORONA,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,230.06,230.06,Dec-2025
1521033835@115353@101196278@3215@101068@207137,OTHER,PROLUTON,ZYDUS HEALTHCARE LTD.,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,260.91,260.91,Dec-2025
1521033835@115353@101196278@3215@101068@207137,OTHER,UNIPROGESTIN,TORRENT PHARMACEUTICALS LTD.,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,272.30,272.30,Dec-2025
1521033835@115353@101196278@3215@101068@207137,OTHER,PROLOUTON DPT,CADILA PHARMACEUTICALS LTD,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,278.30,278.30,Dec-2025
1521033843@88249@101196278@3755@101068@207137,MAIN,GYNONYS 500 MG INJECTION 1,JB CHEMICALS,HYDROXYPROGESTERONE INJECTION 500 MG,1 INJECTION,INJECTION,Non-Scheduled,-1,203.46,203.46,Dec-2025
1521033843@88249@101196278@3755@101068@207137,OTHER,PD,SALUD CARE (I) PVT LTD,HYDROXYPROGESTERONE INJECTION 500 MG,1,INJECTION,Non-Scheduled,-1,22.85,22.85,Dec-2025
1521033843@88249@101196278@3755@101068@207137,OTHER,LGP H,ST. MORRISON,HYDROXYPROGESTERONE INJECTION 500 MG,2,INJECTION,Non-Scheduled,-1,179.90,89.95,Dec-2025
1521033843@88249@101196278@3755@101068@207137,OTHER,NT NATAL,KEE PHARMA,HYDROXYPROGESTERONE INJECTION 500 MG,2,INJECTION,Non-Scheduled,-1,224.06,112.03,Dec-2025
1521033843@88249@101196278@3755@101068@207137,OTHER,FETUGEST,OBSURGE BIOTECH LTD,HYDROXYPROGESTERONE INJECTION 500 MG,2,INJECTION,Non-Scheduled,-1,240.28,120.14,Dec-2025
1521033843@88249@101196278@3755@101068@207137,OTHER,CAPROGEN DEPOT,MACMILLON PHARMACEUTICALS,HYDROXYPROGESTERONE INJECTION 500 MG,2,INJECTION,Non-Scheduled,-1,310.50,155.25,Dec-2025
1521033843@88249@101196278@3755@101068@207137,OTHER,PRESTERO,NEON LABORATORIES LTD,HYDROXYPROGESTERONE INJECTION 500 MG,2,INJECTION,Non-Scheduled,-1,311.20,155.60,Dec-2025
1521033843@88249@101196278@3755@101068@207137,OTHER,MAINTANE,JAGSONPAL PHARMACEUTICALS LTD,HYDROXYPROGESTERONE INJECTION 500 MG,2,INJECTION,Non-Scheduled,-1,361.04,180.52,Dec-2025
1521033843@88249@101196278@3755@101068@207137,OTHER,ANIN,INDSWIFT LABORATORIES LTD.,HYDROXYPROGESTERONE INJECTION 500 MG,2,INJECTION,Non-Scheduled,-1,361.88,180.94,Dec-2025
1521033843@88249@101196278@3755@101068@207137,OTHER,FULFIL 9,CADILA PHARMACEUTICALS LTD,HYDROXYPROGESTERONE INJECTION 500 MG,2,INJECTION,Non-Scheduled,-1,375.94,187.97,Dec-2025
1521033843@88249@101196278@3755@101068@207137,OTHER,COR9,CORONA,HYDROXYPROGESTERONE INJECTION 500 MG,2,INJECTION,Non-Scheduled,-1,386.81,193.41,Dec-2025
1521033843@88249@101196278@3755@101068@207137,OTHER,UNIPROGESTIN,TORRENT PHARMACEUTICALS LTD.,HYDROXYPROGESTERONE INJECTION 500 MG,2,INJECTION,Non-Scheduled,-1,449.70,224.85,Dec-2025
1521033843@88249@101196278@3755@101068@207137,OTHER,PROLUSTAR DEPO.,CADILA PHARMACEUTICALS LTD,HYDROXYPROGESTERONE INJECTION 500 MG,2,INJECTION,Non-Scheduled,-1,462.53,231.27,Dec-2025
1521033843@88249@101196278@3755@101068@207137,OTHER,PROLUTIL,TABLETS INDIA LTD,HYDROXYPROGESTERONE INJECTION 500 MG,2,INJECTION,Non-Scheduled,-1,462.53,231.27,Dec-2025
1521033843@88249@101196278@3755@101068@207137,OTHER,PROLUTON,ZYDUS HEALTHCARE LTD.,HYDROXYPROGESTERONE INJECTION 500 MG,2,INJECTION,Non-Scheduled,-1,462.53,231.27,Dec-2025
1521033843@88249@101196278@3755@101068@207137,OTHER,BIOSTERONE-DEPOT,ZYDUS HEALTHCARE LTD.,HYDROXYPROGESTERONE INJECTION 500 MG,1,INJECTION,Non-Scheduled,-1,253.20,253.20,Dec-2025
1521033843@88249@101196278@3755@101068@207137,OTHER,PROGESHIELD,INDIAN IMMUNOLOGICALS LTD,HYDROXYPROGESTERONE INJECTION 500 MG,1,INJECTION,Non-Scheduled,-1,267.19,267.19,Dec-2025
1521147965@285837@101233214@3215@101068@207137,MAIN,HPROGEST 250 MG INJECTION 1 ML,OLCARE LTD,HYDROXYPROGESTERONE INJECTION 250 MG,1 ML INJECTION,INJECTION,Non-Scheduled,-1,92.85,92.85,Dec-2025
1521147965@285837@101233214@3215@101068@207137,OTHER,GYNONYS,JB CHEMICALS,HYDROXYPROGESTERONE INJECTION 250 MG,2,INJECTION,Non-Scheduled,-1,107.21,53.61,Dec-2025
1521147965@285837@101233214@3215@101068@207137,OTHER,LGP H,ST. MORRISON,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,69.90,69.90,Dec-2025
1521147965@285837@101233214@3215@101068@207137,OTHER,PROLUTIL,TABLETS INDIA LTD,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,94.28,94.28,Dec-2025
1521147965@285837@101233214@3215@101068@207137,OTHER,BIOSTERONE-DEPOT,ZYDUS HEALTHCARE LTD.,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,113.10,113.10,Dec-2025
1521147965@285837@101233214@3215@101068@207137,OTHER,FETUGEST,OBSURGE BIOTECH LTD,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,115.31,115.31,Dec-2025
1521147965@285837@101233214@3215@101068@207137,OTHER,CAPROGEN DEPOT,MACMILLON PHARMACEUTICALS,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,127.83,127.83,Dec-2025
1521147965@285837@101233214@3215@101068@207137,OTHER,NT NATAL,KEE PHARMA,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,163.50,163.50,Dec-2025
1521147965@285837@101233214@3215@101068@207137,OTHER,PROGESHIELD,INDIAN IMMUNOLOGICALS LTD,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,175.00,175.00,Dec-2025
1521147965@285837@101233214@3215@101068@207137,OTHER,PRO-9,ABBOTT INDIA LTD.,HYDROXYPROGESTERONE INJECTION 250 MG,2,INJECTION,Non-Scheduled,-1,354.12,177.06,Dec-2025
1521147965@285837@101233214@3215@101068@207137,OTHER,PRO-9,ABBOTT INDIA LTD.,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,209.26,209.26,Dec-2025
1521147965@285837@101233214@3215@101068@207137,OTHER,MAINTANE,JAGSONPAL PHARMACEUTICALS LTD,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,216.18,216.18,Dec-2025
1521147965@285837@101233214@3215@101068@207137,OTHER,ANIN,INDSWIFT LABORATORIES LTD.,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,216.38,216.38,Dec-2025
1521147965@285837@101233214@3215@101068@207137,OTHER,COR9,CORONA,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,230.06,230.06,Dec-2025
1521147965@285837@101233214@3215@101068@207137,OTHER,PROLUTON,ZYDUS HEALTHCARE LTD.,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,260.91,260.91,Dec-2025
1521147965@285837@101233214@3215@101068@207137,OTHER,UNIPROGESTIN,TORRENT PHARMACEUTICALS LTD.,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,272.30,272.30,Dec-2025
1521147965@285837@101233214@3215@101068@207137,OTHER,PROLOUTON DPT,CADILA PHARMACEUTICALS LTD,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,278.30,278.30,Dec-2025
1521035672@119050@101138879@1846@101038@207137,MAIN,HYPROGEST 100 MG CAPSULE 10,COLINZ LABORATORIES LTD,HYDROXYPROGESTERONE CAPSULE 100 MG,10 CAPSULE,CAPSULE,Non-Scheduled,-1,160.00,16.00,Dec-2025
1521035673@119051@101138879@2974@101038@207137,MAIN,HYPROGEST 200 MG CAPSULE 10,COLINZ LABORATORIES LTD,HYDROXYPROGESTERONE CAPSULE 200 MG,10 CAPSULE,CAPSULE,Non-Scheduled,-1,280.00,28.00,Dec-2025
1521143752@227483@101234084@3215@101068@207137,MAIN,LGP H 250 MG INJECTION 1 ML,ST. MORRISON,HYDROXYPROGESTERONE INJECTION 250 MG,1 ML INJECTION,INJECTION,Non-Scheduled,-1,69.90,69.90,Dec-2025
1521143752@227483@101234084@3215@101068@207137,OTHER,GYNONYS,JB CHEMICALS,HYDROXYPROGESTERONE INJECTION 250 MG,2,INJECTION,Non-Scheduled,-1,107.21,53.61,Dec-2025
1521143752@227483@101234084@3215@101068@207137,OTHER,HPROGEST,OLCARE LTD,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,92.85,92.85,Dec-2025
1521143752@227483@101234084@3215@101068@207137,OTHER,PROLUTIL,TABLETS INDIA LTD,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,94.28,94.28,Dec-2025
1521143752@227483@101234084@3215@101068@207137,OTHER,BIOSTERONE-DEPOT,ZYDUS HEALTHCARE LTD.,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,113.10,113.10,Dec-2025
1521143752@227483@101234084@3215@101068@207137,OTHER,FETUGEST,OBSURGE BIOTECH LTD,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,115.31,115.31,Dec-2025
1521143752@227483@101234084@3215@101068@207137,OTHER,CAPROGEN DEPOT,MACMILLON PHARMACEUTICALS,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,127.83,127.83,Dec-2025
1521143752@227483@101234084@3215@101068@207137,OTHER,NT NATAL,KEE PHARMA,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,163.50,163.50,Dec-2025
1521143752@227483@101234084@3215@101068@207137,OTHER,PROGESHIELD,INDIAN IMMUNOLOGICALS LTD,HYDROXYPROGESTERONE INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,175.00,175.00,Dec-2025
1521143752@227483@101234084@3215@101068@207137,OTHER,PRO-9,ABBOTT INDIA LTD.,HYDROXYPROGESTERONE INJECTION 250 MG,2,INJECTION,Non-Scheduled,-1,354.12,177.06,Dec-2025
