Product,Company
ACIMED,Medisol
ACIMED F,Sanitas
ACIMED L,Lepetit
ACIPOUN ORAL,Medipharma
ACIVAL,Géminis Farmacéutica
ACLASTA,Biosidus S.A.U.
ACLER,Pharmatrix
ACLOSAN,Eurofarma
ACLOXIGENAC,Eczane
ACLOXIGENAC LP,Eczane
ACLOXIGENAC PLUS,Eczane
ACLUSIN,Casasco
ACNECLIN,Siegfried
ACNECLIN 100 AP,Siegfried
ACNECLIN PBA,Siegfried
ACNEIQUE,Cepage
ACNEIQUE EXFOLIANT,Cepage
ACNEIQUE GEL,Cepage
ACNEIQUE H2O,Cepage
ACNEIQUE MAT,Cepage
ACNEIQUE SERUM,Cepage
ACNESAN,Fortbenton
ACNESAN DRY STICK,Fortbenton
ACNETROL,Lagos
ACNOXIN,Andrómaco
ACPAN,Gray
ACROSS BAP,Novarum Pharma
ACROSS BID,Novarum Pharma
ACROSS BIDC,Novarum Pharma
ACROSS ENERGY,Novarum Pharma
ACROSS GEL DEPORTIVO,Novarum Pharma
ACROSS GEL DEPORTIVO C/CAFEINA,Novarum Pharma
ACROSS LEUCINE,Novarum Pharma
ACROSS SABA,Novarum Pharma
ACROSS SM,Novarum Pharma
ACROSS SMC,Novarum Pharma
ACROSS SP,Novarum Pharma
ACROSS SPBAC,Novarum Pharma
ACROSS SPC,Novarum Pharma
ACROSS SR,Novarum Pharma
ACROSS SRC,Novarum Pharma
ACRYLARM,Poen
ACRYLARM PLUS,Poen
ACTEMIN,Lazar
ACTEMRA,Roche
ACTEMRA SC,Roche
ACTIFEDRIN NASAL,Siegfried
ACTILUZOL,Bioprofarma Bagó
ACTILYSE,Boehringer Ingelheim
ACTIMAX,Siegfried
ACTIMIB,Filaxis Farmacéutica
ACTINERVAL,Bagó
ACTIRELAX,Northia
ACTIRELAX NORTHIA,Northia
ACTISON,Eurofarma
ACTIUM,Monserrat
ACTIVAMENT 5HTP,Framingham Pharma
ACTIVIL,Casasco
ACTIVIL MASTICABLE,Casasco
ACTOBIAN,Savant Generic
ACTRON,Bayer Consumer
ACTRON 400 RAPIDA ACCION NF,Bayer Consumer
ACTRON 600 RAPIDA ACCION,Bayer Consumer
ACTRON 600 RAPIDA ACCION NUEVA FORMULA,Bayer Consumer
ACTRON FLEX,Bayer Consumer
ACTRON GEL,Bayer Consumer
ACTRON MIGRA,Bayer Consumer
ACTRON MUJER RAPIDA ACCION,Bayer Consumer
ACTRON PEDIATRICO,Bayer Consumer
ACTRON PEDIATRICO 4%,Bayer Consumer
ACTRON PLUS,Bayer Consumer
ACTRON RAPIDA ACCION NF,Bayer Consumer
ACULAR,Abbvie
ACULAR LS,Abbvie
ACUS,Roemmers
ADACEL,Sanofi Health Argentina S.A.
ADAPNE,Oxapharma
ADAPNE DUO,Oxapharma
ADAPNE DUO FORTE,Oxapharma
ADCETRIS,Takeda Argentina S.A.
ADDENTA,Richmond
ADECONCE,Lafedar
ADEENE DRAWER,Drawer
ADELGAFRUTA BATIDO SACIANTE,Pharmamerican S.R.L.
ADELGAR SILUETA A.M.,A.M. Farma Activ
ADELGAZA-T,San Ceferino
ADEMPAS,Bayer (PH)
ADENIL,Austral
ADENOSINA BIOL,Biol
ADENOSINA GEMEPE,Gemepe
ADENOSINA GOBBI,Gobbi
ADERMICINA,Elea
ADERMICINA A,Elea
ADERMICINA A 2X1,Elea
ADERMICINA AE,Elea
ADERMICINA ANTI ACNE,Elea
ADERMICINA CUIDADO FACIAL,Elea
ADERMICINA JABON,Elea
ADERMITRIN,Laboratorio Merlino
ADEROGYL,Laboratorio Millet
ADESIAL,Savant Generic
ADEVIT,Química Luar
ADHESOL BIOL,Biol
ADIKAN,Rossmore Pharma
ADITIVOS PARENTERALES,Rivero
ADIUVAN,Lazar
ADIUVAN MET,Lazar
ADRENALINA BIOL,Biol
ADRENALINA BIOQUIM,Duncan
ADRENALINA DRAWER,Drawer
ADRENALINA LARJAN,Veinfar
ADRENOL,Fabra
ADRENOL FORTE,Fabra
ADROMUX,Ariston
ADVATE,Takeda Argentina S.A.
ADYARD,Microsules Arg.
ADYNOVATE 1000 BAXJECT III,Takeda Argentina S.A.
ADYNOVATE 1500 BAXJECT III,Takeda Argentina S.A.
ADYNOVATE 3000 BAXJECT III,Takeda Argentina S.A.
ADYNOVATE 500 BAXJECT III,Takeda Argentina S.A.
AERIUS,Organon Arg.
AEROCAMARA AEROCHAMBER,Silfab
AEROCAMARA AEROSPACER ADULTO,Patejim
AEROCAMARA AEROSPACER INFANTIL,Patejim
AEROCAMARA AEROSPACER JUVENIL,Patejim
AEROCAMARA AEROSPACER LACTANTE,Patejim
AEROCAMARA AEROSPACER TRAQUEOTOMIA,Patejim
AEROCAMARA MAXAIR ADULTO,Biofactor
AEROCAMARA MAXAIR PEDIATRICA,Biofactor
AEROGAL,Megalabs Argentina
AEROLEP,Austral
AEROMED CASSARA,Cassará
AEROPAFF AEROCAMARA VALVULADA,Patejim
AEROPIEL,Biosintex Retail
AEROSPACER PACK,Patejim
AEROTINA,Adium
AEROTINA JARABE PEDIATRICO C/DOSIFICADOR,Adium
AEROTINA RAPIDA ACCION,Adium
AEROTROP,Cassará
AEROTROP NEBU,Medisol
AEROVENT,Medisol
AEROVENT E,Medisol
AEROVIA ATLAS,Lab Internacional Argentino
AEROVIAL HFA,Lab Internacional Argentino
AEROXINA,Elea
AEROXINA U.D.,Elea
AESIM 200,Austral
AET,Craveri
AFATIXANE,Eczane
AFEME,Cetus
AFENEXIL,Temis-Lostaló
AFIANCEN,Eurofarma
AFINITOR,Novartis
AFLIMET,Biotechno Pharma
AFLURIA QUAD,Seqirus
AFLURIA QUAD JUNIOR,Seqirus
AFLUSAN,Domínguez
AFONISAN,Megalabs Argentina
AFSTYLA,CSL Behring
AFTALESS FILM BIOADHESIVO,Grimberg
AFTER SUN EFECTO INMEDIATO,Isdin
AG-B 10,Cassará
AG-B 20,Cassará
AGACEL,Tuteur
AGALZYME,Biosidus S.A.U.
AGAROL,Elea
AGAROL CHICLE,Elea
AGAROL GELCAPS,Elea
AGAROL PUR PURIFICADOR,Elea
AGAROMBA ENERGIA,Provefarma
AGIAL,Natufarma
AGIAL FORMULA CON CURCUMA,Natufarma
AGIOLAX,Elea
AGIRAX,Montpellier
AGLIPTIN,Roemmers
AGLIPTIN MET,Roemmers
AGLUCIDE MR 60,Beta
AGRASTAT,Aspen Pharma
AGRELID,Ariston
AGRIPPAL S1,Seqirus
AGUA BIDESTILADA UNC,Hemoderivados
AGUA DE LAGOS,Lagos
AGUA DESTILADA,Klonal
AGUA DESTILADA,Veinfar
AGUA DESTILADA BOLSA SIMPLE,Jayor
AGUA DESTILADA DRAWER,Drawer
AGUA DESTILADA ESTERILIZADA RIGECIN,Rigecin
AGUA DESTILADA GEMEPE,Gemepe
AGUA DESTILADA INYECTABLE BINA PHARMA,Bina Pharma S.A.
AGUA DESTILADA INYECTABLE JAYOR,Jayor
AGUA DESTILADA INYECTABLE SIST.CERRADO EP,B. Braun
AGUA DESTILADA NORTHIA,Northia
AGUA ESTERIL PARA INYECTABLES,Laboratorios Tecsolpar
AGUA INYECTABLE BP,B. Braun
AGUA PARA INYECTABLE CELTYC,Celtyc
AGUCORT,LKM
AGUJAS ACCU-FINE,Roche Diabetes
AGUJAS BD ULTRAFINE 4MM 32G (EF),Celnova Argentina
AGUJAS BD ULTRAFINE 5MM 31G,Celnova Argentina
AGUJAS BD ULTRAFINE 8MM 31G,Celnova Argentina
AGUJAS NOVOFINE 30 G,Novo Nordisk
AGUJAS NOVOFINE 32 G,Novo Nordisk
AGUJAS NOVOFINE 32 G TIP,Novo Nordisk
AIMAFIX,Biofactor
AIMOVIG,Novartis
AIRBUDE ADULTOS HFA,Biofactor
AIRBUDE INFANTIL HFA,Biofactor
AIRBUDE INFANTIL HFA + MAXAIR PED,Biofactor
AIRCOSALM,Lab Internacional Argentino
AIRCOSALM HFA,Lab Internacional Argentino
AIREAL 10,Siegfried
AIREAL 4,Siegfried
AIREAL 5,Siegfried
AIREAL PLUS,Siegfried
AIRSALBU,Biofactor
AIRSALBU HFA,Biofactor
AJO 1000,Provefarma
AJO 1000+C GARDEN HOUSE,Garden House Argentina
AJO MAS VITAMINA C,Lafarmen
AJO NEGRO,Provefarma
AJO VITAL,A.M. Farma Activ
AJOLIP,Natufarma
AJOMAST,Monserrat
AJOVY,Teva Argentina
AKINETON,Bagó
AKITROPIO,Kilab
AKLIEF,Galderma
AKYNZEO,LKM
ALACIR,Megalabs Argentina
ALAGIN DUO,Casasco
ALAMUR,Tuteur
ALAPIDIUM,Everex
ALBICAR,Casasco
ALBUMINA SERICA,Hemoderivados
ALBUNORM,Infinity Pharma
ALBUREX,CSL Behring
ALCAF,Elea
ALCOHOL 70 SPRAY EWE,Sanitas
ALCOHOL EN GEL EWE,Sanitas
ALCOHOL EN GEL EWE C/BOMBA,Sanitas
ALCOHOL EN GEL EWE REP. S/BOMBA,Sanitas
ALCOHOL EN GEL GEZZI,E. J. Gezzi
ALCOHOL EN SPRAY GEZZI,E. J. Gezzi
ALCON ATROPINA 1%,Alcon
ALCON LAGRIMAS,Alcon
ALCON LAGRIMAS II,Alcon
ALCON MYDRIL,Alcon
ALDACTONE A,Pfizer
ALDACTONE D 25/20,Pfizer
ALDACTONE D 25/40,Pfizer
ALDACTONE EP 25 MG,Aspen Pharma
ALDOMET,Aspen Pharma
ALECENSA,Roche
ALEFDONA,Alef Medical Argentina
ALELI,Laboratorios Bernabó
ALENATO,Siegfried
ALENTAL,Soubeiran Chobet
ALENYS,GlaxoSmithKline Biopharma
ALEPSAL,Ariston
ALERCAS,Casasco
ALERCAS CORT,Casasco
ALERCAS D,Casasco
ALERFEDINE,Lazar
ALERFEDINE D,Lazar
ALERGIANO,Microsules Arg.
ALERGITRAT,Fecofar
ALERGITRAT C,Fecofar
ALERGITRAT L,Fecofar
ALERGITRAT L CAPSULAS BLANDAS,Fecofar
ALERMINA,Genomma Lab.
ALERMUC,Laboratorio Millet
ALERNIX 24 RAPIDA ACCION,Elea
ALERNIX SPRAY,Elea
ALERNIX SPRAY ADVANCE,Elea
ALERPRIV,Montpellier
ALERPRIV D,Montpellier
ALERTIAL,Baliarda
ALERVITAN,Montpellier
ALFABASE,Cassará
ALFABASE 8,Cassará
ALFACORT,Cassará
ALFADIMAN,Lazar
ALFAMINO,Nestle
ALFARE,Nestle
ALFAXIN 100,Bagó
ALFAXIN 50,Bagó
ALFICETIN,Siegfried
ALGEDOL,Gobbi
ALGICLER,Monserrat
ALGICLER FLEX,Monserrat
ALGICLER GEL DERMICO,Monserrat
ALGICUR,Casasco
ALGINOPROX,Omicron
ALGIODENT COLUTORIO,Ronnet
ALGISPRAY,Casasco
ALGISTOP ALERGIA,ISA
ALGLUTAMIN,Rivero
ALHEMO,Novo Nordisk
ALIDASE,Laboratorios Bernabó
ALIDASE 500,Laboratorios Bernabó
ALIDIAL,Siegfried
ALIDIAL L,Siegfried
ALIKAL,Haleon Argentina
ALIKAL LIMON,Haleon Argentina
ALIKAL NARANJA,Haleon Argentina
ALIN,Lazar
ALIPAS,Laboratorios Bernabó
ALIPAS DUO,Laboratorios Bernabó
ALIVIAFLEB,Denver Farma
ALIVIALUX,Denver Farma
ALIVIAMAX,Denver Farma
ALIVIAPRES,Denver Farma
ALIVIATOS,Denver Farma
ALKET,Max Vision
ALLEGRA,Opella Healthcare Arg.
ALLENASAL,Opella Healthcare Arg.
ALLERHIT,Laboratorio Merlino
ALLOPURINOL 100 CRAVERI,Craveri
ALLOPURINOL 300 CRAVERI,Craveri
ALLOPURINOL CRAVERI RETARD,Craveri
ALLOPURINOL FABRA 300,Fabra
ALLOPURINOL GADOR,Gador
ALLOPURINOL HEXAL 300,Siegfried
ALLOPURINOL HOUDE,Ariston
ALMAXIMO,Savant Consumer
ALMAXIMO 36,Savant Consumer
ALMAXIMO MASTICABLE,Savant Consumer
ALOE VERA A.M.,A.M. Farma Activ
ALOEBEL CORPORAL,Fortbenton
ALOEBEL LIP BALM,Fortbenton
ALOEBEL LIPMALBEX,Fortbenton
ALOEBEL REDENSIFICANTE,Fortbenton
ALOEBEL RETINOL,Fortbenton
ALOEBEL UREA 10%,Fortbenton
ALOSOL,Max Vision
ALPERTAN,Adium
ALPERTAN D,Adium
ALPHAGAN,Abbvie
ALPHAGAN P,Abbvie
ALPLAX,Gador
ALPLAX DIGEST,Gador
ALPLAX NET,Gador
ALPLAX XR,Gador
ALPRAZOL,Casasco
ALPRAZOLAM DENVER FARMA,Denver Farma
ALPRAZOLAM LABSA,Labsa
ALPRAZOLAM MICROSULES,Microsules Arg.
ALPRIM,Biotechno Pharma
ALPROSTADIL GRAY,Gray
ALPROSTADIL RICHET,Richet
ALSAVIN ONE,VSA Alta Complejidad
ALSEL,Lab Internacional Argentino
ALTERNA,Abbott Nutricion
ALTERNA PEPTIDO,Abbott Nutricion
ALTERPURE,Eurofarma
ALUDROX II,Omicron
ALUMPAK,Siegfried
ALUNBRIG,Takeda Argentina S.A.
ALUNBRIG TRAT.INICIAL,Takeda Argentina S.A.
ALUXANTIB,Eczane
ALVEOTEROL,Finadiet
ALVEOXINA 1M,Finadiet
ALVEOXINA 2M,Finadiet
ALVERIN,Craveri
ALVETIDE,Elea
ALZATEN,Ariston
ALZATEN DISGRELENT,Ariston
ALZEPRAL,Lazar
ALZETIX,Gador
AMALOX,Biotechno Pharma
AMAPOLI,Laboratorios Bernabó
AMARYL,Sanofi-Aventis
AMBIFUL,Celnova Argentina
AMBISOME,Gador
AMBRIL,Elea
AMBRISENEX 10,Finadiet
AMBRISENEX 5,Finadiet
AMENITE A,Amenite
AMENITE ACNE,Amenite
AMENITE CAP,Amenite
AMENITE CORP,Amenite
AMENITE DOUCE,Amenite
AMENITE E,Amenite
AMENITE HL,Amenite
AMENITE PLUS,Amenite
AMENITE RENOVADOR CAPILAR,Amenite
AMENITE VERA,Amenite
AMENITE VIE,Amenite
AMGEVITA,Amgen
AMICACINA DRAWER,Drawer
AMICACINA NORTHIA,Northia
AMICUS KIT-AFERESIS MNC-DOBLE AGUJA,Fresenius Kabi
AMICUS KIT-PLAQUETOFERESIS FC SN W/PAS LUER,Fresenius Kabi
AMICUS KIT-PLASMAFERESIS THE,Fresenius Kabi
AMIKA PUMP SET VARIOLINE ENFIT UNIVERSAL,Fresenius Kabi
AMIKACINA,Veinfar
AMIKACINA KLONAL,Klonal
AMIKACINA RICHET,Richet
AMILIX,Biosidus S.A.U.
AMINET,Casasco
AMINO 4500 ENA,Laboratorio ENA
AMINO MUJER,Lafarmen
AMINOACIDO 2000 LAFARMEN,Lafarmen
AMINOACIDOS TEINGRO,Teingro
AMINOACIDOS TOTALES,PGN
AMINOACIDOS VITAL A.M.,A.M. Farma Activ
AMINOCREM,Savant Consumer
AMINOCUP,Dr. Madaus
AMINOGLU GLUTAMINA PURA,Framingham Pharma
AMINOMED,B-Life
AMINOMUX,Gador
AMINOPLASMAL 10%,B. Braun
AMINOTERAPIA,Megalabs Argentina
AMINOTERAPIA ADVANCED,Megalabs Argentina
AMINOTERAPIA ADVANCED SHAMPOO,Megalabs Argentina
AMINOTERAPIA CAPILAR,Megalabs Argentina
AMINOVEN 10%,Fresenius Kabi
AMINOVEN 10% INFANT,Fresenius Kabi
AMINOVEN 15%,Fresenius Kabi
AMINOXIDIN SULBACTAM,Fada Pharma
AMIOCAR,Klonal
AMIODARONA LARJAN,Veinfar
AMIODARONA NORTHIA,Northia
AMIPTRIL,Rospaw
AMITAX,Bagó
AMITIE,Vannier
AMITRIPTILINA CEVALLOS,Laboratorios Frasca
AMITRIPTILINA LUAR,Química Luar
AMIXEN,Laboratorios Bernabó
AMIXEN AC,Laboratorios Bernabó
AMIXEN CLAVULANICO,Laboratorios Bernabó
AMIXEN CLAVULANICO 1 G,Laboratorios Bernabó
AMIXEN DUO,Laboratorios Bernabó
AMIXEN PLUS,Laboratorios Bernabó
AMLOC,Aspen Pharma
AMLOC ODT,Aspen Pharma
AMLODICORD 10,Géminis Farmacéutica
AMLODICORD 5,Géminis Farmacéutica
AMLODIPINA RICHET,Richet
AMLODIPINA VANNIER,Vannier
AMLODISANE,Eczane
AMLOPAW,Rospaw
AMLOTENS,Klonal
AMOCLAV DUO,Casasco
AMOCLAV SE,Casasco
AMODORMIN,Omicron
AMODORMIN VL,Omicron
AMOPE EXFOLIADOR ELECTRONICO P/PIES,Reckitt Benckiser
AMOPE LIJAS GIRATORIAS REFILL,Reckitt Benckiser
AMOX-G,Klonal
AMOX-G DUO,Klonal
AMOXI 250 MAR,Mar
AMOXI 500 MAR,Mar
AMOXI DUO MAR,Mar
AMOXI PLUS MAR,Mar
AMOXICILINA CLAVULANICO 7:1 RICHET,Richet
AMOXICILINA CLAVULANICO FORTE RICHET,Richet
AMOXICILINA CLAVULANICO RICHET,Richet
AMOXICILINA FECOFAR,Fecofar
AMOXICILINA FECOFAR DUO,Fecofar
AMOXICILINA LAFEDAR,Lafedar
AMOXICILINA RICHET,Richet
AMOXICILINA RICHET DUO,Richet
AMOXICILINA SANT GALL FRIBURG,Sant Gall
AMOXICILINA SULBACTAM RICHET,Richet
AMOXICLER 500,Monserrat
AMOXIDAL,Roemmers
AMOXIDAL DUO,Roemmers
AMOXIDAL DUO MUC,Roemmers
AMOXIDAL RESPIRATORIO,Roemmers
AMOXIDAL RESPIRATORIO DUO,Roemmers
AMOXITENK,Biotenk
AMOXITENK PLUS 1 GR,Biotenk
AMOXITRAL,Austral
AMOXITRAL,Lepetit
AMOXOL 1000,Medisol
AMOXOL 1000,Sanitas
AMOXOL 500,Cassará
AMOXOL 500,Medisol
AMOXOL DUO,Cassará
AMPAKINE,Rontag
AMPI BIS,Northia
AMPI BIS PLUS,Northia
AMPICILINA,Veinfar
AMPICILINA + SULBACTAM DRAWER,Drawer
AMPICILINA DRAWER,Drawer
AMPICILINA GEMEPE,Gemepe
AMPICILINA PHARMAVIAL,IBC
AMPICILINA RICHET,Richet
AMPICILINA SULBACTAM GEMEPE,Gemepe
AMPICILINA SULBACTAM MORGAN,Kilab
AMPICILINA SULBACTAM PHARMAVIAL,IBC
AMPICILINA SULBACTAM VEINFAR,Veinfar
AMPIGEN,Fabra
AMPIGEN SB,Fabra
AMPK,Framingham Pharma
AMPK CREATINA HCL ORIGINAL,Framingham Pharma
AMPK NUTRI VEGAN PROTEIN,Framingham Pharma
AMPK SPORT CREATINA,Framingham Pharma
AMPLIAR,Casasco
AMPLIAR DUO,Casasco
AMPLIAR PLUS,Casasco
AMPLUS,Savant Consumer
AMSALYO,Eczane
AMUCHINA 100%,Iraola
AMZE,Richmond
AMZIAX,Soubeiran Chobet
ANA-Q,Ariston
ANAFLEX,Bagó
ANAFLEX PLUS RAPIDA ACCION,Bagó
ANAFRANIL,Biosidus S.A.U.
ANAFRANIL 75 DIVITABS,Biosidus S.A.U.
ANAGEN 5%,Cassará
ANALERG,Rontag
ANALGINA,Lafedar
ANALMORPH,Gray
ANASKEBIR,Aspen
ANASTRADEX,Bioprofarma Bagó
ANASTROZOL ECZANE,Eczane
ANASTROZOL GLENMARK,Glenmark
ANASTROZOL GP PHARM,Filaxis Farmacéutica
ANASTROZOL KEMEX,Kemex
ANASTROZOL MICROSULES,Microsules Arg.
ANASTROZOL TECHSPERE,Techsphere
ANASTROZOL VARIFARMA,Varifarma
ANDERTIL,Baliarda
ANDINO GOTAS,PGN
ANDRIN,Casasco
ANDRIODERMA,Andrómaco
ANDROLONE,Beta
ANDROPEL,Fortbenton
ANDROSTAT,Bioprofarma Bagó
ANEBOL,Gador
ANELKA,Gador
ANEMIDOX,Elea
ANEMIDOX FERRUM,Elea
ANEMIDOX ULTRA,Elea
ANESTALCON,Alcon
ANESTEX,Klonal
ANEXA,Microsules Arg.
ANFOLIC,Trb-Pharma
ANFONAX,Varifarma
ANFOTAR LIPOSOMAL,Gemabiotech
ANFOTERICINA B FADA,Fada Pharma
ANFOTERICINA B NORTHIA,Northia
ANFOTERICINA RICHET,Richet
ANGINETAS,Fucus
ANGINETAS CARAMELOS,Fucus
ANGINOTRAT,Megalabs Argentina
ANGIOFILINA,Fabra
ANGIOVEZ,Bagó
ANIDUSTATERA,Jayor
ANIL,Lazar
ANILAR,Megalabs Argentina
ANILLOS PLA. DE HIDROC. ADAPT 48 MM,Hollister
ANILLOS PLA. DE HIDROC. ADAPT 96 MM,Hollister
ANILLOS PLA. DE HIDROC. ADAPT CONV.,Hollister
ANILLOS PLA. DE HIDROC. ADAPT CONV.OV,Hollister
ANILLOS PLA. DE HIDROC. CERARINGS,Hollister
ANIMEX-ON,Laboratorios Bernabó
ANORO ELLIPTA,GlaxoSmithKline Biopharma
ANSIELIX DIGEST,Craveri
ANTIBIOCORT,Biosintex
ANTIBLOC 12.5,Craveri
ANTIBLOC 25,Craveri
ANTIBLOC 6.25,Craveri
ANTIHEMORROIDAL DENVER FARMA,Denver Farma
ANTIHEMORROIDAL GEZZI PLUS,E. J. Gezzi
ANTILERG,Max Vision
ANTIMICON,Casasco
ANTIMICOTICO LAURIA PIEL,Laboratorio Merlino
ANTIMICOTICO LAURIA UÑAS,Laboratorio Merlino
ANTIOXIDANTE +40 NUTRICEUTIC,Eurolab
ANTIOXIDANTE LAFARMEN,Lafarmen
ANTIOXIDANTE VITAL A.M.,A.M. Farma Activ
ANTIPLAQ,Richmond
ANTIPRESOL,Fecofar
ANTIPRESOL A,Fecofar
ANTIPRESOL A 100,Fecofar
ANTIPRESOL D,Fecofar
ANTITROM,Lazar
ANTITROMBINA III UNC,Hemoderivados
ANTITUSIVO FORTE LABSA,Labsa
ANTITUSIVO L LABSA,Labsa
ANTITUSIVO LABSA,Labsa
ANTIXAN,Bioprofarma Bagó
ANTORIL,Tuteur
ANUAR,Siegfried
ANUBIS,Siegfried
ANUSOL DUO,Elea
ANUSOL DUO S,Elea
AOSEPT PLUS CON HYDRAGLYDE,Alcon
APARZO,Eczane
APASMO,Laboratorio Millet
APASMO COMPUESTO,Laboratorio Millet
APATRIX 30,Adium
APATRIX 60,Adium
APECUR,Rospaw
APHERESIS KIT SN 2 PLT X6R8882,Fresenius Kabi
APITENA,Nolter
APLACASSE,Siegfried
APOCALIPSIS,Fortbenton
APOFARM,E. J. Gezzi
APOKINON,Celnova Argentina
APOKINON STYLO,Celnova Argentina
APOSITO ALG. DE CAL. 10X10 CM REST.,Hollister
APOSITO ALG. DE CAL. 10X20 CM REST.,Hollister
APOSITO ALG. DE CAL. 30.5 CM REST.,Hollister
APPLIX PUMP SET VARIOLINE ENFIT UNIVERSAL,Fresenius Kabi
APREMAX,Elea
APRENTICE,Francelab
APRIL,Gador
APRIL 28,Gador
APROTEN ARROZ,B-Life
APROTEN BIZCOCHOS,B-Life
APROTEN FETAS TOSTADAS,B-Life
APROTEN FUSILE,B-Life
APROTEN GRISSINI,B-Life
APROTEN HARINA,B-Life
APROTEN OBLEAS,B-Life
APROTEN PAN BIZCOCHADO,B-Life
APROTEN PENNE,B-Life
APROTEN RIGATINI,B-Life
APROTEN SPAGUETTI,B-Life
APROTEN TAGLIATELLE,B-Life
APROVASC,Sanofi-Aventis
